sc_JavaScript,sc_Java,sc_C++,sc_Objective-C,sc_Ruby,sc_D,sc_Python,sc_Haskell,sc_C#,sc_PHP,concat(payload_pull_request_head_repo_language:freq_in),user,cluster
0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSS:SMALL|Java:MEDIUM,Ankita-Malani,cluster_1
0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:ENORMOUS,Annuvin,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,PHP:MEDIUM,Antek88,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,PHP:ENORMOUS,Antes,cluster_4
0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,Ruby:HIGH|JavaScript:SMALL,Anthony-Gaudino,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,C#:MEDIUM,AnthonySteele,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,PHP:MEDIUM|JavaScript:SMALL,AntoineROESSLINGER,cluster_4
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,ActionScript:SMALL|Objective-C:SMALL|Scala:HIGH|Java:MEDIUM|Go:SMALL|PHP:ENORMOUS|JavaScript:SMALL|C++:SMALL,AntonShevchuk,cluster_4
0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,Anymax,cluster_1
0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,C#:SMALL|Objective-C:MEDIUM,AppBlade,cluster_1
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM|Java:SMALL,AppGroup,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,Python:ENORMOUS,AppScale,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Python:HIGH|JavaScript:HIGH,Applied-GeoSolutions,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,JavaScript:MEDIUM|Python:ENORMOUS,Aranclanos,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,C#:ENORMOUS,Aranda,cluster_1
