"17";"springmeyer";"C++";"9057";"1"
"17";"springmeyer";"JavaScript";"6433";"1"
"17";"springmeyer";"C";"1447";"5"
"17";"springmeyer";"Shell";"680";"12"
"17";"springmeyer";"Python";"477";"36"
"17";"springmeyer";"Ruby";"54";"100"
"17";"springmeyer";"Objective-C";"22";"100"
"17";"springmeyer";"CSS";"18";"100"
"17";"springmeyer";"Java";"17";"100"
"17";"springmeyer";"Go";"13";"100"
"17";"springmeyer";"Lasso";"11";"100"
"17";"springmeyer";"SQL";"10";"100"
"17";"springmeyer";"Perl";"7";"100"
"17";"springmeyer";"CoffeeScript";"4";"100"
"17";"springmeyer";"XML";"2";"100"
"17";"springmeyer";"Rust";"2";"100"
"17";"springmeyer";"C#";"2";"100"
"17";"springmeyer";"TypeScript";"1";"100"
"17";"springmeyer";"Puppet";"1";"100"
"17";"springmeyer";"PHP";"1";"100"
"17";"springmeyer";"Dart";"1";"100"
"17";"springmeyer";"D";"1";"100"
"18";"sahat";"CSS";"1466";"2"
"18";"sahat";"JavaScript";"1210";"7"
"18";"sahat";"PHP";"623";"29"
"18";"sahat";"CoffeeScript";"43";"100"
"18";"sahat";"Python";"21";"100"
"18";"sahat";"Objective-C";"21";"100"
"18";"sahat";"Ruby";"10";"100"
"18";"sahat";"Go";"9";"100"
"18";"sahat";"C++";"8";"100"
"18";"sahat";"Shell";"6";"100"
"18";"sahat";"C";"6";"100"
"18";"sahat";"Java";"4";"100"
"18";"sahat";"Swift";"2";"100"
"18";"sahat";"VimL";"1";"100"
"18";"sahat";"Rust";"1";"100"
"18";"sahat";"Perl";"1";"100"
"19";"thomasdavis";"JavaScript";"5839";"1"
"19";"thomasdavis";"CSS";"996";"2"
"19";"thomasdavis";"Python";"603";"20"
"19";"thomasdavis";"Ruby";"58";"100"
"19";"thomasdavis";"CoffeeScript";"31";"100"
"19";"thomasdavis";"C#";"4";"100"
"19";"thomasdavis";"Java";"3";"100"
"19";"thomasdavis";"Go";"3";"100"
"19";"thomasdavis";"Shell";"2";"100"
"19";"thomasdavis";"PHP";"2";"100"
"19";"thomasdavis";"Perl";"1";"100"
"19";"thomasdavis";"Haskell";"1";"100"
"19";"thomasdavis";"Emacs Lisp";"1";"100"
"19";"thomasdavis";"C++";"1";"100"
"19";"thomasdavis";"C";"1";"100"
"20";"rkh";"Shell";"7882";"1"
"20";"rkh";"Ruby";"5317";"1"
"20";"rkh";"JavaScript";"369";"41"
"20";"rkh";"CSS";"240";"74"
"20";"rkh";"CoffeeScript";"107";"100"
"20";"rkh";"Go";"19";"100"
"20";"rkh";"Objective-C";"18";"100"
"20";"rkh";"C";"17";"100"
"20";"rkh";"Python";"15";"100"
"20";"rkh";"PHP";"7";"100"
"20";"rkh";"Java";"5";"100"
"20";"rkh";"C++";"4";"100"
"20";"rkh";"SQL";"2";"100"
"20";"rkh";"Smalltalk";"1";"100"
"20";"rkh";"Scala";"1";"100"
"20";"rkh";"OCaml";"1";"100"
"20";"rkh";"Lua";"1";"100"
"20";"rkh";"Erlang";"1";"100"
"20";"rkh";"Clojure";"1";"100"
"20";"rkh";"Bison";"1";"100"
"21";"SamyPesse";"JavaScript";"5566";"1"
"21";"SamyPesse";"CSS";"446";"20"
"21";"SamyPesse";"C";"274";"44"
"21";"SamyPesse";"Ruby";"133";"100"
"21";"SamyPesse";"CoffeeScript";"73";"100"
"21";"SamyPesse";"Python";"55";"100"
"21";"SamyPesse";"Shell";"12";"100"
"21";"SamyPesse";"C++";"8";"100"
"21";"SamyPesse";"Go";"6";"100"
"21";"SamyPesse";"Java";"3";"100"
"21";"SamyPesse";"PHP";"2";"100"
"21";"SamyPesse";"TeX";"1";"100"
"21";"SamyPesse";"Rust";"1";"100"
"21";"SamyPesse";"Objective-C";"1";"100"
"21";"SamyPesse";"Erlang";"1";"100"
"21";"SamyPesse";"Emacs Lisp";"1";"100"
"21";"SamyPesse";"Assembly";"1";"100"
"22";"stefanpenner";"JavaScript";"23767";"1"
"22";"stefanpenner";"Ruby";"1630";"4"
"22";"stefanpenner";"CSS";"371";"31"
"22";"stefanpenner";"Objective-C";"46";"100"
"22";"stefanpenner";"CoffeeScript";"32";"100"
"22";"stefanpenner";"Shell";"24";"100"
"22";"stefanpenner";"Rust";"15";"100"
"22";"stefanpenner";"C";"10";"100"
"22";"stefanpenner";"Python";"7";"100"
"22";"stefanpenner";"Objective-C++";"4";"100"
"22";"stefanpenner";"Java";"4";"100"
"22";"stefanpenner";"C++";"3";"100"
"22";"stefanpenner";"Swift";"1";"100"
"22";"stefanpenner";"Scala";"1";"100"
"22";"stefanpenner";"Perl";"1";"100"
"22";"stefanpenner";"Emacs Lisp";"1";"100"
"22";"stefanpenner";"Dart";"1";"100"
"23";"kytrinyx";"Ruby";"8165";"1"
"23";"kytrinyx";"JavaScript";"3658";"2"
"23";"kytrinyx";"Go";"1231";"12"
"23";"kytrinyx";"Python";"327";"55"
"23";"kytrinyx";"CSS";"327";"24"
"23";"kytrinyx";"Perl";"217";"66"
"23";"kytrinyx";"CoffeeScript";"162";"100"
"23";"kytrinyx";"PHP";"135";"100"
"23";"kytrinyx";"SQL";"109";"100"
"23";"kytrinyx";"Haskell";"103";"100"
"23";"kytrinyx";"Lua";"102";"100"
"23";"kytrinyx";"C#";"94";"100"
"23";"kytrinyx";"Clojure";"91";"100"
"23";"kytrinyx";"Common Lisp";"84";"100"
"23";"kytrinyx";"Scala";"81";"100"
"23";"kytrinyx";"Shell";"78";"100"
"23";"kytrinyx";"C++";"76";"100"
"23";"kytrinyx";"Erlang";"71";"100"
"23";"kytrinyx";"Elixir";"69";"100"
"23";"kytrinyx";"Swift";"64";"100"
"23";"kytrinyx";"F#";"63";"100"
"23";"kytrinyx";"Rust";"57";"100"
"23";"kytrinyx";"Objective-C";"51";"100"
"23";"kytrinyx";"Java";"48";"100"
"23";"kytrinyx";"OCaml";"42";"100"
"23";"kytrinyx";"Nimrod";"25";"100"
"23";"kytrinyx";"Groovy";"19";"100"
"23";"kytrinyx";"VimL";"9";"100"
"23";"kytrinyx";"C";"6";"100"
"23";"kytrinyx";"TeX";"3";"100"
"23";"kytrinyx";"Visual Basic";"2";"100"
"24";"tmcw";"JavaScript";"12852";"1"
"24";"tmcw";"Java";"1005";"11"
"24";"tmcw";"CSS";"532";"12"
"24";"tmcw";"C++";"274";"56"
"24";"tmcw";"Python";"218";"90"
"24";"tmcw";"Ruby";"118";"100"
"24";"tmcw";"Shell";"91";"100"
"24";"tmcw";"Objective-C";"56";"100"
"24";"tmcw";"C";"45";"100"
"24";"tmcw";"CoffeeScript";"44";"100"
"24";"tmcw";"VimL";"42";"100"
"24";"tmcw";"Go";"29";"100"
"24";"tmcw";"PHP";"16";"100"
"24";"tmcw";"ActionScript";"9";"100"
"24";"tmcw";"Clojure";"3";"100"
"24";"tmcw";"Swift";"2";"100"
"24";"tmcw";"Scala";"2";"100"
"24";"tmcw";"Perl";"2";"100"
"24";"tmcw";"OCaml";"2";"100"
"24";"tmcw";"Julia";"2";"100"
"24";"tmcw";"C#";"2";"100"
"24";"tmcw";"XML";"1";"100"
"24";"tmcw";"Scheme";"1";"100"
"24";"tmcw";"Rust";"1";"100"
"24";"tmcw";"R";"1";"100"
"24";"tmcw";"Nimrod";"1";"100"
"24";"tmcw";"Lua";"1";"100"
"24";"tmcw";"LiveScript";"1";"100"
"24";"tmcw";"Groovy";"1";"100"
"24";"tmcw";"Dart";"1";"100"
"24";"tmcw";"Assembly";"1";"100"
"24";"tmcw";"Arduino";"1";"100"
"25";"mdo";"CSS";"8785";"1"
"25";"mdo";"JavaScript";"8017";"1"
"25";"mdo";"Ruby";"63";"100"
"25";"mdo";"PHP";"7";"100"
"25";"mdo";"Shell";"6";"100"
"25";"mdo";"Scala";"4";"100"
"25";"mdo";"CoffeeScript";"3";"100"
"25";"mdo";"Python";"1";"100"
"25";"mdo";"Objective-C";"1";"100"
"26";"dcramer";"Python";"7360";"1"
"26";"dcramer";"Ruby";"492";"33"
"26";"dcramer";"PHP";"415";"31"
"26";"dcramer";"JavaScript";"305";"38"
"26";"dcramer";"Go";"300";"49"
"26";"dcramer";"C#";"118";"100"
"26";"dcramer";"Java";"76";"100"
"26";"dcramer";"Shell";"61";"100"
"26";"dcramer";"Objective-C";"26";"100"
"26";"dcramer";"C++";"23";"100"
"26";"dcramer";"CSS";"7";"100"
"26";"dcramer";"C";"5";"100"
"26";"dcramer";"Erlang";"2";"100"
"26";"dcramer";"Clojure";"2";"100"
"26";"dcramer";"ActionScript";"2";"100"
"26";"dcramer";"Swift";"1";"100"
"26";"dcramer";"Scala";"1";"100"
"26";"dcramer";"Lua";"1";"100"
"26";"dcramer";"Groovy";"1";"100"
"26";"dcramer";"Elixir";"1";"100"
"27";"addyosmani";"JavaScript";"7914";"1"
"27";"addyosmani";"CSS";"4052";"1"
"27";"addyosmani";"Shell";"619";"63"
"27";"addyosmani";"Python";"57";"100"
"27";"addyosmani";"Ruby";"25";"100"
"27";"addyosmani";"C";"9";"100"
"27";"addyosmani";"Dart";"4";"100"
"27";"addyosmani";"CoffeeScript";"4";"100"
"27";"addyosmani";"Perl";"3";"100"
"27";"addyosmani";"PHP";"2";"100"
"27";"addyosmani";"Objective-C";"1";"100"
"27";"addyosmani";"Java";"1";"100"
"27";"addyosmani";"Groovy";"1";"100"
"28";"mafintosh";"JavaScript";"6769";"1"
"28";"mafintosh";"Shell";"336";"26"
"28";"mafintosh";"CSS";"66";"100"
"28";"mafintosh";"C++";"38";"100"
"28";"mafintosh";"C";"26";"100"
"28";"mafintosh";"Ruby";"17";"100"
"28";"mafintosh";"Perl";"9";"100"
"28";"mafintosh";"Go";"8";"100"
"28";"mafintosh";"CoffeeScript";"4";"100"
"28";"mafintosh";"PowerShell";"3";"100"
"28";"mafintosh";"Objective-C";"3";"100"
"28";"mafintosh";"R";"2";"100"
"28";"mafintosh";"Python";"2";"100"
"28";"mafintosh";"OCaml";"2";"100"
"28";"mafintosh";"C#";"1";"100"
"29";"balupton";"CoffeeScript";"7121";"1"
"29";"balupton";"JavaScript";"1700";"9"
"29";"balupton";"Perl";"484";"25"
"29";"balupton";"Ruby";"461";"25"
"29";"balupton";"CSS";"282";"49"
"29";"balupton";"Python";"144";"100"
"29";"balupton";"Shell";"128";"92"
"29";"balupton";"Objective-C";"28";"100"
"29";"balupton";"PHP";"25";"100"
"29";"balupton";"C++";"18";"100"
"29";"balupton";"C";"18";"100"
"29";"balupton";"Java";"10";"100"
"29";"balupton";"Go";"9";"100"
"29";"balupton";"C#";"7";"100"
"29";"balupton";"TypeScript";"2";"100"
"29";"balupton";"TeX";"2";"100"
"29";"balupton";"Racket";"2";"100"
"29";"balupton";"Clojure";"2";"100"
"29";"balupton";"VimL";"1";"100"
"29";"balupton";"Vala";"1";"100"
"29";"balupton";"Swift";"1";"100"
"29";"balupton";"Prolog";"1";"100"
"29";"balupton";"PowerShell";"1";"100"
"29";"balupton";"Objective-C++";"1";"100"
"29";"balupton";"LiveScript";"1";"100"
"29";"balupton";"Groovy";"1";"100"
"29";"balupton";"Arduino";"1";"100"
"29";"balupton";"ActionScript";"1";"100"
"30";"samdark";"PHP";"13994";"1"
"30";"samdark";"JavaScript";"333";"73"
"30";"samdark";"Java";"32";"100"
"30";"samdark";"Perl";"18";"100"
"30";"samdark";"Ruby";"11";"100"
"30";"samdark";"Python";"10";"100"
"30";"samdark";"CSS";"10";"100"
"30";"samdark";"C";"5";"100"
"30";"samdark";"Shell";"1";"100"
"30";"samdark";"C++";"1";"100"
"31";"weaverryan";"Lasso";"4072";"1"
"31";"weaverryan";"Assembly";"1470";"2"
"31";"weaverryan";"PHP";"1220";"14"
"31";"weaverryan";"Python";"1073";"11"
"31";"weaverryan";"CSS";"770";"5"
"31";"weaverryan";"JavaScript";"20";"100"
"31";"weaverryan";"C#";"1";"100"
"32";"remy";"JavaScript";"8114";"1"
"32";"remy";"CSS";"906";"3"
"32";"remy";"PHP";"306";"35"
"32";"remy";"C";"68";"100"
"32";"remy";"Ruby";"53";"100"
"32";"remy";"Java";"34";"100"
"32";"remy";"Shell";"19";"100"
"32";"remy";"C++";"7";"100"
"32";"remy";"Python";"6";"100"
"32";"remy";"CoffeeScript";"6";"100"
"32";"remy";"ASP";"6";"100"
"32";"remy";"Objective-C";"4";"100"
"32";"remy";"VimL";"2";"100"
"32";"remy";"Go";"2";"100"
"32";"remy";"Perl";"1";"100"
"32";"remy";"C#";"1";"100"
"33";"c9s";"PHP";"4735";"1"
"33";"c9s";"C";"1732";"5"
"33";"c9s";"Go";"593";"25"
"33";"c9s";"JavaScript";"247";"60"
"33";"c9s";"Shell";"217";"60"
"33";"c9s";"Haskell";"183";"60"
"33";"c9s";"C++";"151";"100"
"33";"c9s";"Perl";"72";"100"
"33";"c9s";"CoffeeScript";"42";"100"
"33";"c9s";"Objective-C";"41";"100"
"33";"c9s";"VimL";"39";"100"
"33";"c9s";"Ruby";"32";"100"
"33";"c9s";"Python";"20";"100"
"33";"c9s";"CSS";"11";"100"
"33";"c9s";"Java";"8";"100"
"33";"c9s";"LiveScript";"6";"100"
"33";"c9s";"Puppet";"4";"100"
"33";"c9s";"Erlang";"3";"100"
